Device Name,Device Type,Mac Address
keti1,BLE Tag,E8:76:58:5A:BE:38
keti2,BLE Tag,FF:E2:C4:F7:87:3C
keti3,BLE Tag,E7:B0:02:5F:47:A5
keti4,BLE Tag,F7:80:D7:63:28:59
keti5,BLE Tag,EB:F2:B2:90:F0:C0
keti6,BLE Tag,C6:64:FD:91:58:81
keti7,BLE Tag,DE:EB:0B:9F:A8:06
keti8,BLE Tag,FC:F8:8A:C6:A0:A6
keti9,BLE Tag,D6:08:CC:2D:FC:47
keti10,BLE Tag,C0:4F:E4:D1:F9:66
keti11,BLE Tag,FE:C9:33:9A:30:1B
keti12,BLE Tag,C3:5A:A3:7E:99:E5
keti13,BLE Tag,DC:9E:24:5B:D8:12
keti14,BLE Tag,EE:20:0C:25:98:FB
keti15,BLE Tag,D0:65:59:A7:C6:52
keti16,BLE Tag,E2:9C:F4:5A:06:CA
keti17,BLE Tag,FC:F7:48:13:CE:E1
keti18,BLE Tag,DE:EB:55:8D:FB:1C
keti19,BLE Tag,FC:66:33:71:B5:85
keti20,BLE Tag,C1:65:15:EB:76:7E
keti21,BLE Tag,F3:C6:C2:EA:60:DC
keti22,BLE Tag,E0:5F:E7:87:2E:A5
keti23,BLE Tag,E6:D7:17:CE:CB:7F
keti24,BLE Tag,C7:9B:34:6A:37:65
keti25,BLE Tag,C1:DC:86:09:2E:FA
keti26,BLE Tag,F8:04:38:34:B9:9E
keti27,BLE Tag,F8:4B:C0:85:D7:4E
keti28,BLE Tag,F6:F4:BD:77:6B:B3
keti29,BLE Tag,E6:37:A1:F3:57:0E
keti30,BLE Tag,D8:08:8B:B5:AD:77
keti31,BLE Tag,CB:74:40:BF:68:92
keti32,BLE Tag,DD:9A:D2:4F:50:41
keti33,BLE Tag,DF:32:54:53:AD:A2
keti34,BLE Tag,CA:A8:BC:8B:68:F7
keti35,BLE Tag,C7:EE:E5:68:B2:41
keti36,BLE Tag,E5:79:38:DF:BA:A2
keti37,BLE Tag,C5:E1:A0:77:EE:33
keti38,BLE Tag,E5:AB:DE:A7:3E:AE
keti39,BLE Tag,FA:20:BB:FE:A3:46
keti40,BLE Tag,DB:97:B7:EE:AF:B8
keti41,BLE Tag,DF:52:54:78:7D:E7
keti42,BLE Tag,F8:F2:F8:A6:64:27
keti43,BLE Tag,D2:D2:46:A2:40:22
keti44,BLE Tag,D5:35:04:87:15:0F
keti45,BLE Tag,D9:4E:21:88:EE:3E
keti46,BLE Tag,DF:D7:43:B8:C9:40
keti47,BLE Tag,EA:75:A6:51:FD:B4
keti48,BLE Tag,F7:5C:64:04:89:36
keti49,BLE Tag,DF:42:A7:61:3E:2E
keti50,BLE Tag,C1:AE:67:82:50:18
